|2020/04/24 17:54:58.100| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIARMENU/ARPURGE  | 
|2020/04/24 17:54:58.100| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIARMENU/FILMAINT | 
|2020/04/24 17:54:58.100| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIUVMENU/UVUTIL   | 
|2020/04/24 17:54:58.100| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIUVMENU/UVMAP    | 
|2020/04/24 17:54:58.100| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIUVMENU/UVXUTIL  | 
|2020/04/24 17:54:58.114| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIUVMENU/ECMENU   | 
|2020/04/24 17:54:58.114| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIUVMENU/ECCLIST  | 
|2020/04/24 17:54:58.114| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIUVMENU/EPICMENU | 
|2020/04/24 17:54:58.114| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIARMENU/SLGMAINT | 
|2020/04/24 17:54:58.114| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIDIMENU/DIMASTER | 
|2020/04/24 17:54:58.114| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIDIMENU/DIPARAM  | 
|2020/04/24 17:54:58.114| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIDIMENU/INVMENU  | 
|2020/04/24 17:54:58.114| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIDIMENU/CLSTMENU | 
|2020/04/24 17:54:58.131| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIDIMENU/MNTMENU  | 
|2020/04/24 17:54:58.131| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIDIMENU/TENTMENU | 
|2020/04/24 17:54:58.131| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():WFDIMENU/DIAPRVS  | 
|2020/04/24 17:54:58.131| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():WFDIMENU/DIPURGES | 
|2020/04/24 17:54:58.131| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIDIMENU/TPROCPST | 
|2020/04/24 17:54:58.131| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIDIMENU/SASMENU  | 
|2020/04/24 17:54:58.131| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIDIMENU/DIEXTRNL | 
|2020/04/24 17:54:58.146| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIDIMENU/EPICMENU | 
